id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,source,source_url
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.8,3149293961,33,9635416396,12584730.0,2.01,1.79,-0.08407315597786891,-4.46012,-148091782.55708694,-4.49119,1747956251.958995,5347956251.518271,10000000000.0,2.96,-39.19656,2025-09-18T07:27:06.144Z,0.04746135,3690.52803,2025-07-04T03:56:17.448Z,2026-03-19T22:47:49.771Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.23,3016465411,34,6325493190,97780693.0,1.3,1.22,-0.07251289562226049,-5.58214,-175912157.5477414,-5.51038,2459353874.79828,5157236721.821327,,8.25,-85.15849,2024-06-15T00:36:51.509Z,0.519364,135.85772,2021-09-21T00:33:11.092Z,2026-03-19T22:47:49.743Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4653.27,2627004774,35,3316320422,966735317.0,4842.26,4548.8,-153.98205957551818,-3.20312,-89227889.78614473,-3.28499,564598.641692,712747.089,,5504.62,-15.34187,2026-01-29T00:00:00.000Z,1447.84,221.86574,2020-03-19T13:45:41.821Z,2026-03-19T22:47:49.557Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,270.34,2594631927,37,5677241110,356326602.0,274.32,243.47,0.637843,0.23649,8206506.0,0.31729,9597491.0,21000000.0,21000000.0,757.6,-64.6976,2024-03-07T18:45:36.466Z,30.83,767.50882,2023-05-14T08:57:53.732Z,2026-03-19T22:47:50.171Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.093126,2576486614,36,9314183859,66789193.0,0.097757,0.092021,-0.004201939594932785,-4.31729,-117008887.9687314,-4.34413,27661968598.0,100000000000.0,100000000000.0,0.331336,-71.89368,2025-09-01T12:20:09.597Z,0.092016,1.20717,2026-03-19T16:30:40.072Z,2026-03-19T22:47:49.568Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.jpg?1766533446,1.51,2530490467,38,2530492158,190192342.0,1.58,1.5,-0.0513114681721345,-3.2846,-88896852.4597187,-3.3938,1675225788.807275,1675226908.352829,2100000000.0,54.98,-97.25529,2021-11-04T14:10:09.301Z,1.15,31.18472,2026-02-06T00:25:45.413Z,2026-03-19T22:47:49.798Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/MNT_Token_Logo.png?1765516974,0.747003,2447667827,39,4644015079,46648860.0,0.776306,0.727746,-0.023304913225020818,-3.0254,-77163049.1583705,-3.05617,3277944055.53684,6219316794.889999,6219316794.89,2.86,-73.8418,2025-10-09T01:04:46.659Z,0.307978,142.49544,2023-10-18T02:50:46.942Z,2026-03-19T22:47:49.660Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.12,2410633408,40,2410633408,223739.0,1.12,1.12,0.00010423,0.00932,1146522.0,0.04758,2154860884.911417,2154860884.911417,,1.12,-0.0897,2026-03-16T11:51:05.283Z,1.026,9.02373,2024-12-05T22:31:20.475Z,2026-03-19T22:47:49.972Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4660.52,2337501512,41,2337501512,738613604.0,4853.56,4547.37,-161.55516015225567,-3.35032,-78786064.09055567,-3.26062,501552.248,501552.248,,5619.09,-16.94518,2026-01-29T06:30:56.612Z,1399.64,233.43721,2019-11-18T03:09:35.959Z,2026-03-19T22:47:49.760Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.57,2259156199,42,3202085932,220229344.0,3.72,3.51,-0.10718815166185935,-2.91845,-69308661.81103277,-2.97658,633561603.6037512,897998420.0366304,1000000000.0,44.92,-92.06043,2021-05-03T05:25:04.822Z,1.03,246.18542,2020-09-17T01:20:38.214Z,2026-03-19T22:47:50.032Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2012475046,43,2012475046,0.0,1.0,1.0,0.0,0.0,190139.0,0.00945,2012475046.050449,2012475046.050449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,2026-03-19T22:45:10.125Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,88.55,1859583386,44,1859583386,21148412.0,92.58,87.71,-3.3814519711762188,-3.67817,-72313670.31611443,-3.74314,21000000.0,21000000.0,21000000.0,228.74,-61.26397,2025-10-05T00:00:00.000Z,0.580608,15160.65223,2019-01-14T00:00:00.000Z,2026-03-19T22:47:50.792Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.999905,1776416169,45,1776416169,24685477.0,1.0,0.999665,-0.000118786533779391,-0.01188,4780144.0,0.26982,1776618666.310112,1776618666.310112,,1.65,-39.56184,2025-01-30T00:11:05.728Z,0.907561,10.18088,2024-11-11T23:55:50.604Z,2026-03-19T22:47:49.582Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.998184,1749516699,46,1749516699,2707240.0,0.998601,0.995928,0.00028018,0.02808,180071.0,0.01029,1752557423.525555,1752557423.525555,,1.075,-7.09323,2025-05-08T21:25:42.071Z,0.943422,5.8232,2025-07-08T10:16:34.749Z,2026-03-19T22:47:49.848Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.176402,1729690198,47,2661061843,26317671.0,0.178999,0.173089,0.00331272,1.91387,38901602.0,2.3008,9805713278.828579,15085712736.65935,100000000000.0,2.99,-94.09305,2025-02-26T16:41:03.732Z,0.131244,34.46473,2026-02-11T17:06:46.605Z,2026-03-19T22:47:49.692Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.32,1709017963,48,1709017943,168648968.0,1.4,1.32,-0.06088179658238979,-4.39535,-78671264.88071299,-4.40072,1290628188.0,1290628173.0,,20.44,-93.52147,2022-01-16T22:09:45.873Z,0.526762,151.36373,2020-11-04T16:09:15.137Z,2026-03-19T22:47:49.683Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,111.17,1687325063,49,1777995057,369047113.0,118.91,110.93,-3.7360349373343524,-3.25136,-58227670.79822397,-3.33577,15184069.784566047,16000000.0,16000000.0,661.69,-83.20394,2021-05-18T21:19:59.514Z,26.02,327.07313,2020-11-05T09:20:11.928Z,2026-03-19T22:47:49.996Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.685904,1684633275,50,5365979481,183314373.0,0.697221,0.673692,-0.005826146422473588,-0.84226,-13881939.089862823,-0.8173,2455859719.12999,7822529124.604758,8000000000.0,2.41,-71.52431,2025-09-24T11:18:14.634Z,0.099713,587.87509,2025-09-17T12:05:36.771Z,2026-03-19T22:47:49.682Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
